Track,Wins
Albert Park Grand Prix Circuit,2
Autódromo Hermanos Rodríguez,2
Autódromo José Carlos Pace,2
Autodromo Nazionale di Monza,5
Bahrain International Circuit,3
Baku City Circuit,1
Circuit de Barcelona-Catalunya,4
Circuit de Monaco,3
Circuit de Spa-Francorchamps,3
Circuit Gilles Villeneuve,7
Circuit of the Americas,5
Circuit Paul Ricard,2
Fuji Speedway,1
Hockenheimring,3
Hungaroring,7
Indianapolis Motor Speedway,1
Istanbul Park,1
Marina Bay Street Circuit,4
Nürburgring,1
Red Bull Ring,1
Sepang International Circuit,1
Shanghai International Circuit,6
Silverstone Circuit,6
Sochi Autodrom,4
Suzuka Circuit,4
Yas Marina Circuit,5
